external_id,name,email,phone,plan,monthly_revenue,contract_length_months,signup_date,contract_end_date,last_activity_date,logins_last_30d,feature_usage_score,support_tickets_open,support_tickets_total,nps_score,billing_issues_count,country,industry,company_size,is_churned,churned_at
EXT-2000,"Rodriguez, Figueroa and Sanchez",jillrhodes@miller.com,989.608.3863,free,0.00,,2024-09-19,,2026-06-01,27,43.7,2,3,77,0,NL,FinTech,large,false,
EXT-2001,Blake and Sons,jpeterson@bernard.com,361-855-9407,starter,68.49,,2024-03-04,,2026-06-09,16,76.1,0,0,100,0,DE,MarTech,large,false,
EXT-2002,Arnold Ltd,barbara10@perez.com,664-375-2553,growth,792.62,24,2022-11-17,2024-11-01,2026-06-05,24,61.7,0,1,77,0,FR,MarTech,small,false,
EXT-2003,"Reid, Ferguson and Sanchez",ogray@hawkins.com,505.964.1395,free,0.00,,2022-06-11,,2026-04-22,6,21.4,3,5,,1,SG,FinTech,large,true,2024-04-19
EXT-2004,Wilkerson-Day,josephwright@ryan.org,(353)828-7101x2269,starter,136.61,,2023-08-03,,2026-02-16,4,3.8,5,9,-4,0,SG,EdTech,large,true,2023-11-18
EXT-2005,Carlson-Mcdonald,tasha01@dyer.com,346-627-0482,starter,122.00,,2022-02-18,,2026-06-03,15,54.4,0,0,32,1,DE,PropTech,small,false,
EXT-2006,"Romero, Gonzalez and Brooks",amberosborne@sellers.com,(443)903-9117x182,starter,147.91,,2023-10-23,,2026-06-07,19,62.4,0,0,63,0,BR,LegalTech,small,false,
EXT-2007,"Martin, Rose and Obrien",sarahcampos@harris.com,587.213.3150x983,growth,993.66,,2022-05-05,,2026-06-07,19,82.7,0,0,,1,US,LegalTech,large,false,
EXT-2008,Zimmerman Inc,carlosjohnson@jones-young.info,582.399.7376,starter,75.89,,2024-10-26,,2026-06-11,18,65.2,0,1,63,0,SG,InsurTech,small,false,
EXT-2009,Hopkins LLC,ujenkins@nunez.com,4658133387,enterprise,4003.92,,2022-08-16,,2026-06-07,15,90.7,0,0,18,0,NL,FinTech,mid,false,
EXT-2010,Ramirez and Sons,ramosmichelle@garcia.com,432-867-7360,enterprise,3586.15,,2022-05-24,,2026-06-06,18,78.5,0,1,64,1,SG,InsurTech,mid,false,
EXT-2011,Galloway LLC,smitchell@cowan.com,243.909.8050,free,0.00,,2023-06-25,,2026-05-16,3,24.4,3,9,86,2,FR,FinTech,mid,false,
