external_id,name,email,phone,plan,monthly_revenue,contract_length_months,signup_date,contract_end_date,last_activity_date,logins_last_30d,feature_usage_score,support_tickets_open,support_tickets_total,nps_score,billing_issues_count,country,industry,company_size,is_churned,churned_at
EXT-1000,"Rodriguez, Figueroa and Sanchez",jillrhodes@miller.com,989.608.3863,growth,316.51,,2023-07-18,,2026-05-30,7,77.4,0,8,-16,0,GB,E-commerce,small,false,
EXT-1001,Blake and Sons,jpeterson@bernard.com,361-855-9407,starter,52.98,,2023-02-12,,2026-05-27,35,59.4,2,7,-20,0,IN,MarTech,mid,false,
EXT-1002,Arnold Ltd,barbara10@perez.com,664-375-2553,starter,192.58,,2023-11-21,,2024-12-17,0,14.0,2,5,73,3,NL,FinTech,mid,true,2025-01-13
EXT-1003,"Reid, Ferguson and Sanchez",ogray@hawkins.com,505.964.1395,free,0.00,,2023-08-24,,2026-05-22,57,90.3,1,9,-15,0,DE,FinTech,small,false,
EXT-1004,Wilkerson-Day,josephwright@ryan.org,(353)828-7101x2269,enterprise,2830.44,12,2024-07-17,2025-07-17,2026-04-23,24,54.9,2,10,67,0,BR,HealthTech,large,false,
EXT-1005,Carlson-Mcdonald,tasha01@dyer.com,346-627-0482,growth,413.38,24,2024-02-17,2026-02-17,2026-05-27,36,45.4,0,5,-16,1,IN,EdTech,small,false,
EXT-1006,"Romero, Gonzalez and Brooks",amberosborne@sellers.com,(443)903-9117x182,starter,190.44,,2023-10-07,,2026-05-14,26,91.9,3,10,-3,0,NL,InsurTech,mid,false,
EXT-1007,"Martin, Rose and Obrien",sarahcampos@harris.com,587.213.3150x983,growth,598.90,,2025-04-10,,2026-04-21,33,64.5,0,12,-1,0,IN,PropTech,small,false,
EXT-1008,Zimmerman Inc,carlosjohnson@jones-young.info,582.399.7376,starter,138.38,,2024-08-16,,2026-05-18,56,96.0,0,10,48,1,FR,FinTech,mid,false,
EXT-1009,Hopkins LLC,ujenkins@nunez.com,4658133387,starter,117.06,,2023-06-24,,2026-05-31,12,65.5,1,1,44,0,CA,MarTech,small,false,
EXT-1010,Ramirez and Sons,ramosmichelle@garcia.com,432-867-7360,starter,165.79,,not-a-date,,2026-05-21,21,64.2,1,1,86,1,AU,SaaS,small,false,
EXT-1011,Galloway LLC,smitchell@cowan.com,243.909.8050,enterprise,4814.32,,2022-06-25,,2026-05-31,35,83.6,2,2,50,0,DE,InsurTech,large,false,
EXT-1012,"Calhoun, Schmidt and Brown",yorkcasey@leonard.biz,793-699-0916,starter,80.77,,2025-01-09,,2026-05-27,13,79.9,2,6,46,1,GB,E-commerce,small,false,
EXT-1013,Santiago LLC,josephanderson@evans.com,6794911838,free,0.00,,2022-02-13,,2026-04-27,38,45.4,0,1,95,0,FR,FinTech,large,false,
EXT-1014,Ibarra-Suarez,justin78@turner.net,4846124118,starter,149.35,,2023-03-15,,2026-05-29,60,91.8,3,9,40,1,AU,FinTech,small,false,
EXT-1015,Jacobs-Robbins,gracefarrell@freeman.com,+1-264-300-5242x7868,growth,547.01,24,2024-04-21,2026-04-21,2026-04-16,44,75.7,0,10,,1,GB,E-commerce,small,false,
EXT-1016,Landry Ltd,amydavenport@tran.com,4535315869,starter,116.29,,2024-05-14,,2026-05-12,16,91.2,1,1,89,0,US,InsurTech,small,false,
EXT-1017,Cherry and Sons,vjohnson@patton-jenkins.com,521-260-7337x543,enterprise,4742.28,12,2023-04-30,2024-04-30,2026-05-13,14,90.5,0,0,29,1,SG,EdTech,mid,false,
EXT-1018,"Lee, Murphy and Lin",michael86@zavala.com,329-840-1965x569,growth,810.35,12,2025-02-12,2026-02-12,2026-04-22,13,50.8,0,0,-13,0,BR,LegalTech,large,false,
EXT-1019,"Lee, Williams and Graham",michaeljones@mccall.com,001-448-646-5648x236,enterprise,3358.94,,2022-04-27,,2026-06-06,12,34.8,0,1,100,0,BR,PropTech,small,false,
EXT-1020,Kelley-Smith,jason99@morris.net,221.248.9513x4332,premium,592.46,12,2025-04-10,2026-04-10,2026-06-11,17,44.3,2,11,30,0,DE,LegalTech,mid,false,
EXT-1021,Riggs PLC,gibsonolivia@lee.com,(501)363-2870,enterprise,4775.07,24,2022-01-20,2024-01-20,2026-04-19,5,67.6,2,8,24,0,AU,MarTech,mid,false,
