external_id,name,email,phone,plan,monthly_revenue,contract_length_months,signup_date,contract_end_date,last_activity_date,logins_last_30d,feature_usage_score,support_tickets_open,support_tickets_total,nps_score,billing_issues_count,country,industry,company_size,is_churned,churned_at
7590-VHVEG,Telco-7590-VHVEG,,,starter,29.85,,2023-12-16,,2024-01-15,8,12.5,0,0,,1,US,Telecommunications,,false,
5575-GNVDE,Telco-5575-GNVDE,,,growth,56.95,12,2021-03-31,2024-03-15,2024-01-15,8,37.5,0,2,,0,US,Telecommunications,,false,
3668-QPYBK,Telco-3668-QPYBK,,,starter,53.85,,2023-11-16,,2023-12-16,2,37.5,0,0,,1,US,Telecommunications,,true,2024-01-15
7795-CFOCW,Telco-7795-CFOCW,,,growth,42.3,12,2020-05-05,2024-04-14,2024-01-15,8,37.5,0,1,,0,US,Telecommunications,,false,
9237-HQITU,Telco-9237-HQITU,,,starter,70.7,,2023-11-16,,2023-12-16,4,12.5,0,0,,2,US,Telecommunications,,true,2024-01-15
9305-CDSKC,Telco-9305-CDSKC,,,starter,99.65,,2023-05-20,,2023-12-16,4,62.5,0,0,,2,US,Telecommunications,,true,2024-01-15
1452-KIOVK,Telco-1452-KIOVK,,,starter,89.1,,2022-03-26,,2024-01-15,15,50.0,0,1,,0,US,Telecommunications,,false,
6713-OKOMC,Telco-6713-OKOMC,,,starter,29.75,,2023-03-21,,2024-01-15,8,12.5,0,0,,0,US,Telecommunications,,false,
7892-POOKP,Telco-7892-POOKP,,,starter,104.8,,2021-09-27,,2023-12-16,4,75.0,0,1,,2,US,Telecommunications,,true,2024-01-15
6388-TABGU,Telco-6388-TABGU,,,growth,56.15,12,2018-12-12,2024-11-10,2024-01-15,8,37.5,0,5,,0,US,Telecommunications,,false,
9763-GRSKD,Telco-9763-GRSKD,,,starter,49.95,,2022-12-21,,2024-01-15,8,25.0,0,1,,0,US,Telecommunications,,false,
7469-LKBCI,Telco-7469-LKBCI,,,enterprise,18.95,24,2022-09-22,2024-09-11,2024-01-15,3,12.5,0,1,,0,US,Telecommunications,,false,
8091-TTVAX,Telco-8091-TTVAX,,,growth,100.35,12,2019-04-11,2024-03-15,2024-01-15,15,62.5,0,4,,0,US,Telecommunications,,false,
0280-XJGEX,Telco-0280-XJGEX,,,starter,103.7,,2020-01-06,,2023-12-16,4,75.0,0,4,,0,US,Telecommunications,,true,2024-01-15
5129-JLPIS,Telco-5129-JLPIS,,,starter,105.5,,2021-12-26,,2024-01-15,15,75.0,0,1,,1,US,Telecommunications,,false,
3655-SNQYZ,Telco-3655-SNQYZ,,,enterprise,113.25,24,2018-05-16,2024-04-14,2024-01-15,15,100.0,0,2,,0,US,Telecommunications,,false,
8191-XWSZG,Telco-8191-XWSZG,,,growth,20.65,12,2019-10-08,2024-09-11,2024-01-15,3,12.5,0,4,,0,US,Telecommunications,,false,
9959-WOFKT,Telco-9959-WOFKT,,,enterprise,106.7,24,2018-03-17,2024-02-14,2024-01-15,15,75.0,0,5,,0,US,Telecommunications,,false,
4190-MFLUW,Telco-4190-MFLUW,,,starter,55.2,,2023-03-21,,2023-12-16,2,37.5,0,0,,0,US,Telecommunications,,true,2024-01-15
4183-MYFRB,Telco-4183-MYFRB,,,starter,90.05,,2022-04-25,,2024-01-15,15,50.0,0,1,,1,US,Telecommunications,,false,
8779-QRDMV,Telco-8779-QRDMV,,,starter,39.65,,2023-12-16,,2023-12-16,2,25.0,0,0,,2,US,Telecommunications,,true,2024-01-15
